"order_date","customer_id","customer_name","segment","product_name","discount","sum_discount","row_id"
"2019-11-13","ME-17320","Maria Etezadi","Home Office","Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags","0.80","0.80","1551"
"2016-12-09","TS-21205","Thomas Seio","Corporate","Tripp Lite TLP810NET Broadband Surge for Modem/Fax","0.80","0.80","7853"
"2019-06-16","MK-17905","Michael Kennedy","Corporate","Storex DuraTech Recycled Plastic Frosted Binders","0.80","0.80","4542"
"2016-01-04","PO-19195","Phillina Ober","Home Office","GBC Standard Plastic Binding Systems Combs","0.80","0.80","742"
"2019-09-03","EP-13915","Emily Phan","Consumer","Premier Elliptical Ring Binder, Black","0.80","0.80","537"
"2017-11-07","AB-10105","Adrian Barton","Consumer","Avery Recycled Flexi-View Covers for Binding Systems","0.80","0.80","9105"
"2018-05-09","CV-12805","Cynthia Voltz","Corporate","Ibico Standard Transparent Covers","0.80","0.80","8916"
"2017-10-24","MT-18070","Michelle Tran","Home Office","Avery Non-Stick Binders","0.80","0.80","5487"
"2018-03-21","KT-16465","Kean Takahito","Consumer","Avery Durable Slant Ring Binders","0.80","0.80","3172"
"2019-03-18","CD-11980","Carol Darley","Consumer","Hoover Portapower Portable Vacuum","0.80","0.80","677"
"2016-11-23","SS-20140","Saphhira Shifley","Corporate","Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit","0.80","0.80","3709"
"2017-07-09","KN-16450","Kean Nguyen","Corporate","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","0.80","0.80","4276"
"2017-11-21","BB-11545","Brenda Bowman","Corporate","Cardinal Hold-It CD Pocket","0.80","0.80","8768"
"2019-06-04","ML-18040","Michelle Lonsdale","Corporate","Presstex Flexible Ring Binders","0.80","0.80","3193"
"2017-03-05","MS-17365","Maribeth Schnelling","Consumer","Avanti 4.4 Cu. Ft. Refrigerator","0.80","0.80","8252"
"2019-10-23","DM-13015","Darrin Martin","Consumer","Storex Dura Pro Binders","0.80","0.80","3856"
"2018-08-28","TP-21415","Tom Prescott","Consumer","GBC ProClick Spines for 32-Hole Punch","0.80","0.80","4071"
"2019-12-25","GA-14725","Guy Armstrong","Consumer","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","0.80","0.80","7946"
"2016-09-14","JB-15400","Jennifer Braxton","Corporate","Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center","0.80","0.80","175"
"2016-12-06","BK-11260","Berenike Kampe","Consumer","Ibico Covers for Plastic or Wire Binding Elements","0.80","0.80","5098"
"2017-12-06","KW-16435","Katrina Willman","Consumer","Avery Reinforcements for Hole-Punch Pages","0.80","0.80","1285"
"2017-12-31","TB-21625","Trudy Brown","Consumer","Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders","0.80","0.80","2138"
"2019-02-25","MH-18025","Michelle Huthwaite","Consumer","Avery Hidden Tab Dividers for Binding Systems","0.80","0.80","3765"
"2016-07-14","AW-10930","Arthur Wiediger","Home Office","Acco D-Ring Binder w/DublLock","0.80","0.80","2207"
"2017-04-19","PG-18820","Patrick Gardner","Consumer","Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote","0.80","0.80","6035"
"2018-05-09","CV-12805","Cynthia Voltz","Corporate","Euro Pro Shark Stick Mini Vacuum","0.80","0.80","8917"
"2018-11-19","EH-13945","Eric Hoffmann","Consumer","Avery Hidden Tab Dividers for Binding Systems","0.80","0.80","1113"
"2016-03-31","DD-13570","Dorothy Dickinson","Consumer","Fellowes Black Plastic Comb Bindings","0.80","0.80","5049"
"2019-11-26","GT-14755","Guy Thornton","Consumer","GBC Premium Transparent Covers with Diagonal Lined Pattern","0.80","0.80","3853"
"2019-06-17","LS-17200","Luke Schmidt","Corporate","Fellowes Binding Cases","0.80","0.80","2503"
"2019-11-06","CC-12370","Christopher Conant","Consumer","Zipper Ring Binder Pockets","0.80","0.80","8966"
"2019-08-17","ED-13885","Emily Ducich","Home Office","Belkin Premiere Surge Master II 8-outlet surge protector","0.80","0.80","7189"
"2018-07-23","CK-12205","Chloris Kastensmidt","Consumer","Storex Dura Pro Binders","0.80","0.80","7075"
"2018-09-30","SJ-20215","Sarah Jordon","Consumer","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","0.80","0.80","4225"
"2016-08-25","JE-15715","Joe Elijah","Consumer","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets","0.80","0.80","8459"
"2016-12-14","JD-16015","Joy Daniels","Consumer","Avery Heavy-Duty EZD View Binder with Locking Rings","0.80","0.80","1973"
"2017-11-21","BB-11545","Brenda Bowman","Corporate","Storex DuraTech Recycled Plastic Frosted Binders","0.80","0.80","8766"
"2018-06-11","MZ-17515","Mary Zewe","Corporate","Computer Printout Index Tabs","0.80","0.80","2428"
"2019-05-18","SG-20890","Susan Gilcrest","Corporate","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","0.80","0.80","4187"
"2019-05-23","KL-16645","Ken Lonsdale","Consumer","Acco 6 Outlet Guardian Premium Plus Surge Suppressor","0.80","0.80","4873"
"2017-09-17","SF-20965","Sylvia Foulston","Corporate","GBC Imprintable Covers","0.80","0.80","1676"
"2018-09-03","CS-11950","Carlos Soltero","Consumer","XtraLife ClearVue Slant-D Ring Binder, White, 3""","0.80","0.80","2160"
"2016-11-07","SC-20725","Steven Cartwright","Consumer","Avery Triangle Shaped Sheet Lifters, Black, 2/Pack","0.80","0.80","4782"
"2018-09-19","EH-14125","Eugene Hildebrand","Home Office","Avery Binding System Hidden Tab Executive Style Index Sets","0.80","0.80","659"
"2019-05-12","AC-10420","Alyssa Crouse","Corporate","Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets","0.80","0.80","1858"
"2018-03-13","LT-17110","Liz Thompson","Consumer","Insertable Tab Indexes For Data Binders","0.80","0.80","2347"
"2019-02-09","TP-21415","Tom Prescott","Consumer","GBC ProClick 150 Presentation Binding System","0.80","0.80","3085"
"2017-11-02","BB-10990","Barry Blumstein","Corporate","GBC Premium Transparent Covers with Diagonal Lined Pattern","0.80","0.80","9193"
"2019-01-12","DB-13120","David Bremer","Corporate","GBC Ibimaster 500 Manual ProClick Binding System","0.80","0.80","8641"
"2019-10-23","RB-19330","Randy Bradley","Consumer","Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""","0.80","0.80","4148"
"2017-09-20","TP-21130","Theone Pippenger","Consumer","Acco Translucent Poly Ring Binders","0.80","0.80","9146"
